INDEX1 LOG(N) INDEX2 LOG(G)   CII(erg/cm2/s)
------ ------ ------ ------   ------------
     0  1.000      0 -0.500     0.250E-04
     0  1.000      1 -0.250     0.354E-04
     0  1.000      2  0.000     0.495E-04
     0  1.000      3  0.250     0.669E-04
     0  1.000      4  0.500     0.833E-04
     0  1.000      5  0.750     0.101E-03
     0  1.000      6  1.000     0.120E-03
     0  1.000      7  1.250     0.139E-03
     0  1.000      8  1.500     0.158E-03
     0  1.000      9  1.750     0.178E-03
     0  1.000     10  2.000     0.198E-03
     0  1.000     11  2.250     0.219E-03
     0  1.000     12  2.500     0.240E-03
     0  1.000     13  2.750     0.260E-03
     0  1.000     14  3.000     0.281E-03
     0  1.000     15  3.250     0.300E-03
     0  1.000     16  3.500     0.319E-03
     0  1.000     17  3.750     0.338E-03
     0  1.000     18  4.000     0.355E-03
     0  1.000     19  4.250     0.371E-03
     0  1.000     20  4.500     0.386E-03
     0  1.000     21  4.750     0.401E-03
     0  1.000     22  5.000     0.414E-03
     0  1.000     23  5.250     0.426E-03
     0  1.000     24  5.500     0.438E-03
     0  1.000     25  5.750     0.449E-03
     0  1.000     26  6.000     0.459E-03
     0  1.000     27  6.250     0.469E-03
     0  1.000     28  6.500     0.478E-03
     1  1.250      0 -0.500     0.251E-04
     1  1.250      1 -0.250     0.366E-04
     1  1.250      2  0.000     0.528E-04
     1  1.250      3  0.250     0.741E-04
     1  1.250      4  0.500     0.964E-04
     1  1.250      5  0.750     0.122E-03
     1  1.250      6  1.000     0.151E-03
     1  1.250      7  1.250     0.181E-03
     1  1.250      8  1.500     0.212E-03
     1  1.250      9  1.750     0.243E-03
     1  1.250     10  2.000     0.275E-03
     1  1.250     11  2.250     0.308E-03
     1  1.250     12  2.500     0.340E-03
     1  1.250     13  2.750     0.373E-03
     1  1.250     14  3.000     0.405E-03
     1  1.250     15  3.250     0.436E-03
     1  1.250     16  3.500     0.467E-03
     1  1.250     17  3.750     0.496E-03
     1  1.250     18  4.000     0.523E-03
     1  1.250     19  4.250     0.549E-03
     1  1.250     20  4.500     0.573E-03
     1  1.250     21  4.750     0.595E-03
     1  1.250     22  5.000     0.616E-03
     1  1.250     23  5.250     0.635E-03
     1  1.250     24  5.500     0.653E-03
     1  1.250     25  5.750     0.670E-03
     1  1.250     26  6.000     0.685E-03
     1  1.250     27  6.250     0.699E-03
     1  1.250     28  6.500     0.712E-03
     2  1.500      0 -0.500     0.249E-04
     2  1.500      1 -0.250     0.377E-04
     2  1.500      2  0.000     0.559E-04
     2  1.500      3  0.250     0.808E-04
     2  1.500      4  0.500     0.109E-03
